pdf,is_text_pdf,extracted_triplet,manifest_batch12,phase1_chunk,profile,status,detected_chapters,detected_appendices
TSR Inc - AD&D 2nd Edition - Dragonlance_ Fifth Age_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Defiance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Hope.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Sorcery.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Sorcery_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Steel.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ History of Dragonlance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ History of Dragonlance_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ More Leaves from the Inn of the Last Home.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ More Leaves from the Inn of the Last Home_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Palanthas.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Palanthas_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Player's Guide to the Dragonlance Campaign.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Seeds of Chaos.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Seeds of Chaos_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Tales of the Lance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Art of the Dragonlance Saga.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Bestiary.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Last Tower - Legacy of Raistlin.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Time of the Dragon Boxset.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ TM3 - World of Krynn Trail Map.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ TM3 - World of Krynn Trail Map_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Wings of Fury.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Wings of Fury_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dungeon Builder's Guidebook.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dungeon Master Option - High-Level Campaigns.pdf,false,true,true,true,true,merge_ready,13,0
TSR Inc - AD&D 2nd Edition - Encyclopedia Magica Volume 1.pdf,false,true,true,true,true,merge_ready,0,1
TSR Inc - AD&D 2nd Edition - Encyclopedia Magica Volume 2.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Encyclopedia Magica Volume 3.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Encyclopedia Magica Volume 4.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - HR1 - Vikings Campaign.pdf,false,true,true,true,true,merge_ready,8,0
TSR Inc - AD&D 2nd Edition - HR2 - Charlemagne's Paladins.pdf,false,true,true,true,true,merge_ready,4,0
TSR Inc - AD&D 2nd Edition - HR3 - Celts.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - HR3 - Celts_text.pdf,true,true,true,true,true,merge_ready,8,1
TSR Inc - AD&D 2nd Edition - HR4 - A Mighty Fortress.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - HR4 - A Mighty Fortress_text.pdf,true,true,true,true,true,merge_ready,7,0
TSR Inc - AD&D 2nd Edition - HR5 - Glory of Rome.pdf,false,true,true,true,true,merge_ready,5,0
TSR Inc - AD&D 2nd Edition - HR6 - Age of Heroes.pdf,false,true,true,true,true,merge_ready,3,3
TSR Inc - AD&D 2nd Edition - HR7 - Crusades.pdf,false,true,true,true,true,merge_ready,5,0
TSR Inc - AD&D 2nd Edition - Legends and Lore.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 1.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 1_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 2.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 3.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 4.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Annual Volume 4_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Fiend Folio Appendix.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Fiend Folio Appendix_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Mystara Appendix.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Outer Planes Appendix.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Outer Planes Appendix_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium - Savage Coast Appendix.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium Volume 1.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium Volume 1_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium Volume 2.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Monstrous Compendium Volume 2_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR01 - The Complete Fighter's Handbook.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR02 - The Complete Thief's Handbook.pdf,false,true,true,true,true,merge_ready,9,0
TSR Inc - AD&D 2nd Edition - PHBR03 - The Complete Priest's Handbook.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR04 - The Complete Wizard's Handbook.pdf,false,true,true,true,true,merge_ready,14,0
